Time,Speed,SOC,BatteryTemp,Throttle,Brake
5.02746,8.66985,99.999,25,0,0
5.05914,8.52403,99.9985,25,0,0
5.0901,8.37199,99.998,25,0,0
5.12054,8.22337,99.9976,25,0,0
5.15079,8.40605,99.9971,25,1,0
5.18123,8.5875,99.9966,25,1,0
5.21203,8.77018,99.9961,25,1,0
5.24371,8.95498,99.9956,25,1,0
5.2753,9.14505,99.9951,25,1,0
5.30645,9.33459,99.9945,25,1,0
5.3379,9.52146,99.994,25,1,0
5.36901,9.71018,99.9934,25,1,0
5.39999,9.89683,99.9928,25,1,0
5.43153,10.0827,99.9922,25,1,0
5.46326,10.2719,99.9916,25,1,0
5.49443,10.4624,99.991,25,1,0
5.51081,10.6494,99.9904,25,1,0
5.54232,10.7477,99.9901,25,1,0
5.57297,10.9367,99.9894,25,1,0
5.60403,11.1206,99.9888,25,1,0
5.636,11.3069,99.9882,25,1,0
5.66734,11.4988,99.9875,25,1,0
5.698,11.6868,99.9868,25,1,0
5.72933,11.8708,99.9861,25,1,0
5.76154,12.0588,99.9854,25,1,0
5.79224,12.252,99.9847,25,1,0
5.82241,12.4362,99.984,25,1,0
5.85384,12.6172,99.9833,25,1,0
5.88484,12.8058,99.9825,25,1,0
5.91639,12.9918,99.9818,25,1,0
5.94782,13.1811,99.981,25,1,0
5.97951,13.3697,99.9803,25,1,0
6.00995,13.5599,99.9795,25,1,0
6.04071,13.7425,99.9787,25,1,0
6.07164,13.9271,99.9779,25,1,0
6.10333,14.1127,99.9771,25,1,0
6.13428,14.3028,99.9763,25,1,0
6.16653,14.4884,99.9754,25,1,0
6.19739,14.682,99.9745,25,1,0
6.22829,14.8671,99.9737,25,1,0
6.25956,15.0525,99.9728,25,1,0
6.29054,15.2402,99.9719,25,1,0
6.32254,15.426,99.9711,25,1,0
6.35423,15.618,99.9701,25,1,0
6.38528,15.8082,99.9692,25,1,0
6.41653,15.9945,99.9683,25,1,0
6.44779,16.1819,99.9674,25,1,0
6.47865,16.3695,99.9664,25,1,0
6.50956,16.5547,99.9655,25,1,0
6.54035,16.7402,99.9645,25,1,0
6.57143,16.9249,99.9635,25,1,0
6.60256,17.1114,99.9626,25,1,0
6.63399,17.2981,99.9616,25,1,0
6.66523,17.4867,99.9605,25,1,0
6.69681,17.6742,99.9595,25,1,0
6.72824,17.8637,99.9585,25,1,0
6.75868,18.0522,99.9574,25,1,0
6.7901,18.2348,99.9564,25,1,0
6.82083,18.4234,99.9553,25,1,0
6.85285,18.6078,99.9543,25,1,0
6.88452,18.7999,99.9531,25,1,0
6.91563,18.9899,99.952,25,1,0
6.94719,19.1765,99.9509,25,1,0
6.97778,19.3659,99.9498,25,1,0
7.00905,19.5495,99.9487,25,1,0
7.04067,19.7371,99.9475,25,1,0
7.07208,19.9268,99.9464,25,1,0
7.10315,20.1152,99.9452,25,1,0
7.13417,20.3017,99.944,25,1,0
7.16557,20.4878,99.9429,25,1,0
7.19737,20.6762,99.9417,25,1,0
7.2284,20.867,99.9404,25,1,0
7.25973,21.0532,99.9392,25,1,0
7.29124,21.2412,99.938,25,1,0
7.32191,21.4302,99.9367,25,1,0
7.35366,21.6142,99.9355,25,1,0
7.3856,21.8047,99.9342,25,1,0
7.41696,21.9964,99.9329,25,1,0
7.44811,22.1845,99.9316,25,1,0
7.47956,22.3714,99.9303,25,1,0
7.51101,22.5601,99.929,25,1,0
7.54286,22.7489,99.9277,25,1,0
7.57403,22.94,99.9264,25,1,0
7.60469,23.127,99.925,25,1,0
7.63687,23.3109,99.9237,25,1,0
7.66783,23.504,99.9223,25,1,0
7.69945,23.6898,99.9209,25,1,0
7.73096,23.8795,99.9195,25,1,0
7.76181,24.0685,99.9181,25,1,0
7.79403,24.2536,99.9167,25,1,0
7.82528,24.4469,99.9153,25,1,0
7.8579,24.6345,99.9139,25,1,0
7.88919,24.8302,99.9124,25,1,0
7.91951,25.0179,99.9109,25,1,0
7.95069,25.1998,99.9095,25,1,0
7.9822,25.3869,99.9081,25,1,0
8.01412,25.576,99.9066,25,1,0
8.04513,25.7675,99.905,25,1,0
8.07646,25.9536,99.9035,25,1,0
8.10744,26.1415,99.902,25,1,0
8.13845,26.3274,99.9005,25,1,0
8.16922,26.5135,99.899,25,1,0
8.20056,26.6981,99.8975,25,1,0
8.23229,26.8861,99.8959,25,1,0
8.26383,27.0765,99.8943,25,1,0
8.29548,27.2658,99.8927,25,1,0
8.32666,27.4557,99.8911,25,1,0
8.35768,27.6428,99.8895,25,1,0
8.38886,27.8288,99.8879,25,1,0
8.42021,28.0159,99.8863,25,1,0
8.45099,28.204,99.8847,25,1,0
8.48168,28.3887,99.883,25,1,0
8.51283,28.5728,99.8814,25,1,0
8.54388,28.7598,99.8798,25,1,0
8.57454,28.9461,99.8781,25,1,0
8.60524,29.13,99.8764,25,1,0
8.63614,29.3142,99.8748,25,1,0
8.66736,29.4996,99.8731,25,1,0
8.69901,29.6869,99.8714,25,1,0
8.72985,29.8768,99.8696,25,1,0
8.76036,30.0619,99.8679,25,1,0
8.79104,30.245,99.8662,25,1,0
8.82259,30.429,99.8645,25,1,0
8.85339,30.6183,99.8627,25,1,0
8.88517,30.8031,99.8609,25,1,0
8.91621,30.9938,99.8591,25,1,0
8.94758,31.18,99.8573,25,1,0
8.97926,31.3683,99.8555,25,1,0
9.00973,31.5583,99.8536,25,1,0
9.04137,31.7411,99.8518,25,1,0
9.07256,31.931,99.85,25,1,0
9.10445,32.1182,99.8481,25,1,0
9.13602,32.3095,99.8462,25,1,0
9.16741,32.4989,99.8443,25,1,0
9.19907,32.6872,99.8424,25,1,0
9.23067,32.8772,99.8405,25,1,0
9.26279,33.0668,99.8385,25,1,0
9.29333,33.2595,99.8365,25,1,0
9.32497,33.4428,99.8347,25,1,0
9.35667,33.6326,99.8327,25,1,0
9.38821,33.8228,99.8307,25,1,0
9.41938,34.0121,99.8287,25,1,0
9.45032,34.1991,99.8267,25,1,0
9.48077,34.3847,99.8248,25,1,0
9.51167,34.5674,99.8228,25,1,0
9.54334,34.7528,99.8208,25,1,0
9.57469,34.9428,99.8188,25,1,0
9.6064,35.131,99.8167,25,1,0
9.63842,35.3212,99.8147,25,1,0
9.67013,35.5133,99.8125,25,1,0
9.70117,35.7035,99.8105,25,1,0
9.73271,35.8898,99.8084,25,1,0
9.76387,36.0791,99.8063,25,1,0
9.79585,36.266,99.8042,25,1,0
9.82784,36.4579,99.802,25,1,0
9.85918,36.6498,99.7999,25,1,0
9.89023,36.8379,99.7977,25,1,0
9.92125,37.0241,99.7956,25,1,0
9.95354,37.2103,99.7935,25,1,0
10.0012,37.4041,99.7912,25,1,0
10.0324,37.6903,99.7879,25,1,0
10.0636,37.877,99.7857,25,1,0
10.0952,38.0647,99.7835,25,1,0
10.1265,38.2539,99.7813,25,1,0
10.1725,38.4418,99.779,25,1,0
10.204,38.718,99.7757,25,1,0
10.2349,38.9068,99.7735,25,1,0
10.2671,39.0923,99.7712,25,1,0
10.299,39.2855,99.7689,25,1,0
10.3303,39.4771,99.7666,25,1,0
10.3772,39.6644,99.7643,25,1,0
10.4239,39.946,99.7608,25,1,0
10.4551,40.226,99.7573,25,1,0
10.5016,40.4134,99.755,25,1,0
10.5329,40.6923,99.7515,25,1,0
10.5645,40.8804,99.7491,25,1,0
10.5966,41.0695,99.7467,25,1,0
10.6279,41.2622,99.7443,25,1,0
10.675,41.4504,99.7419,25,1,0
10.707,41.7328,99.7382,25,1,0
10.7541,41.925,99.7357,25,1,0
10.8013,42.2075,99.732,25,1,0
10.8325,42.4905,99.7283,25,1,0
10.8646,42.6775,99.7259,25,1,0
10.8963,42.8702,99.7233,25,1,0
10.9278,43.0607,99.7208,25,1,0
10.9588,43.2497,99.7183,25,1,0
10.9896,43.4355,99.7158,25,1,0
11.0202,43.6205,99.7133,25,1,0
11.0518,43.8041,99.7108,25,1,0
11.083,43.9936,99.7082,25,1,0
11.1142,44.1809,99.7057,25,1,0
11.1456,44.3681,99.7031,25,1,0
11.1769,44.5565,99.7005,25,1,0
11.2075,44.7444,99.6979,25,1,0
11.2395,44.9275,99.6954,25,1,0
11.2713,45.1197,99.6927,25,1,0
11.3027,45.3107,99.69,25,1,0
11.3334,45.4992,99.6874,25,1,0
11.365,45.6835,99.6848,25,1,0
11.3962,45.8729,99.6821,25,1,0
11.4281,46.0598,99.6794,25,1,0
11.4607,46.2515,99.6767,25,1,0
11.4913,46.4471,99.6739,25,1,0
11.5227,46.6304,99.6713,25,1,0
11.5539,46.8189,99.6685,25,1,0
11.5856,47.006,99.6658,25,1,0
11.6173,47.1964,99.663,25,1,0
11.6492,47.3867,99.6603,25,1,0
11.6801,47.5779,99.6575,25,1,0
11.7116,47.7632,99.6547,25,1,0
11.7424,47.9522,99.6519,25,1,0
11.7739,48.1373,99.6492,25,1,0
11.8049,48.3261,99.6464,25,1,0
11.8364,48.5123,99.6436,25,1,0
11.8681,48.7009,99.6407,25,1,0
11.8992,48.8912,99.6379,25,1,0
11.9305,49.0781,99.635,25,1,0
11.9615,49.2657,99.6322,25,1,0
11.9932,49.4515,99.6293,25,1,0
12.0244,49.6417,99.6264,25,1,0
12.0551,49.8291,99.6236,25,1,0
12.0861,50.0133,99.6207,25,1,0
